,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
2468,Niles Breakbone,9,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,LG,humanoid,ToA
2469,Ortimay Swift and Dark,65,10d8 + 20,-,15,-,2,15,16,14,14,11,14,+4,+5,-,-,+2,-,30,-,-,-,-,-,M,CG,humanoid,ToA
2470,Orvex Ocrammas,27,6d8,-,12,-,1,10,15,10,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,ToA
2471,Pterafolk,26,4d10 + 4,-,12,-,1,15,13,12,9,10,11,-,-,-,-,-,-,30,50,-,-,-,-,L,NE,monstrosity,ToA
2472,Qawasha,27,5d8 + 5,-,11,-,2,10,12,13,12,15,11,-,-,-,-,-,-,30,-,-,-,-,-,M,NG,humanoid,ToA
2473,Ras Nsi,-,-,127 (17d8+51) reduced to 107; subtract 1 for each day that passes during the adventure,15,-,7,17,16,17,18,18,21,-,-,+6,-,+7,-,30,-,-,-,-,-,M,NE,monstrosity,ToA
2474,River Mist,40,9d8,-,14,-,1,10,17,11,13,14,15,-,-,-,-,-,-,30,-,-,-,20,-,M,CG,humanoid,ToA
2475,Salida,40,9d8,-,11,-,1,11,12,11,13,12,14,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,ToA
2476,Sekelok,143,22d8 + 44,-,18,-,9,20,15,14,10,14,12,+9,-,+6,-,-,-,30,-,-,-,-,-,M,NE,humanoid,ToA
2477,Shago,112,15d8 + 45,-,16,-,5,18,15,16,10,12,15,+7,+5,+6,-,-,-,30,-,-,-,-,-,M,CG,humanoid,ToA
2478,Skeleton Key,13,2d8 + 4,-,13,-,1/4,10,14,15,6,8,5,-,-,-,-,-,-,30,-,-,-,30,-,M,U,undead,ToA
2479,Spiked Tomb Guardian,93,11d8 + 44,-,17,-,6,19,9,18,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,M,N,construct,ToA
2480,Stone Juggernaut,157,15d10 + 75,-,15,-,12,16,12,15,14,14,16,-,-,-,-,-,-,-,-,-,-,-,-,L,U,construct,ToA
2481,Su-monster,27,5d8 + 5,-,12,-,1,14,15,12,9,13,9,-,-,-,-,-,-,30,-,-,-,30,-,M,CE,monstrosity,ToA
2482,Syndra Silvane,99,18d8 + 18,-,12,-,12,10,14,12,20,15,16,-,-,-,+9,+6,-,30,-,-,-,-,-,M,L,humanoid,ToA
2483,Tabaxi Hunter,40,9d8,-,14,-,1,10,17,11,13,14,15,-,-,-,-,-,-,30,-,-,-,20,-,M,CG,humanoid,ToA
2484,Tabaxi Minstrel,22,5d8,-,12,-,1/4,10,15,11,14,12,16,-,-,-,-,-,-,30,-,-,-,20,-,M,CG,humanoid,ToA
2485,Terracotta Warrior,33,6d8 + 6,-,18,-,1,14,11,13,1,3,1,-,-,-,-,-,-,25,-,-,-,-,-,M,U,construct,ToA
2486,Tomb Dwarf,45,6d8 + 18,-,14,-,3,15,14,16,10,13,15,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,ToA
2487,Tomb Guardian,93,11d8 + 44,-,17,-,5,19,9,18,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,M,N,construct,ToA
2488,Tri-flower Frond,11,2d8 + 2,-,10,-,1/2,14,15,12,9,13,9,-,-,-,-,-,-,5,-,-,-,-,-,M,U,plant,ToA
2489,Tyrannosaurus Zombie,136,13d12 + 52,-,11,-,8,25,6,19,1,3,5,-,-,-,-,-,-,40,-,-,-,-,-,H,U,undead,ToA
2490,Valindra Shadowmantle,135,18d8 + 54,-,17,-,21,11,16,16,20,14,16,-,-,+10,+12,+9,-,30,-,-,-,-,-,M,NE,undead,ToA
2491,"Volothamp ""Volo"" Geddarm",31,7d8,-,11,-,1/4,9,12,10,15,11,16,-,-,+2,-,+2,-,30,-,-,-,-,-,M,CG,humanoid,ToA
2492,Wakanga O'tamu,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,LN,humanoid,ToA
2493,Wild Dog,3,1d6,-,12,-,0,8,15,11,3,12,6,-,-,-,-,-,-,40,-,-,-,-,-,S,U,beast,ToA
2494,Wine Weird,58,9d10 + 9,-,13,-,3,17,16,13,11,10,10,-,-,-,-,-,-,0,-,60,-,-,-,L,N,elemental,ToA
2495,Withers,45,6d8 + 18,-,14,-,4,15,14,16,16,13,15,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,undead,ToA
2496,Xandala,71,11d8 + 22,-,13,-,7,10,11,14,18,16,18,-,-,-,+7,+6,-,30,-,-,-,-,-,M,NE,humanoid,ToA
2497,Yellow Musk Creeper,60,11d8 + 11,-,6,-,2,12,3,12,1,10,3,-,-,-,-,-,-,5,-,-,-,5,-,M,U,plant,ToA
2498,Yellow Musk Zombie,33,6d8 + 6,-,9,-,1/4,13,9,12,1,6,3,-,-,-,-,-,-,20,-,-,-,-,-,M,U,undead,ToA
2499,Yorb,49,9d6 + 18,-,13,-,2,7,16,15,10,11,12,-,+5,-,-,-,-,25,-,-,-,25,-,S,LE,humanoid,ToA
2500,Yuan-ti Priest,66,12d8 + 12,-,12,-,3,16,14,13,14,12,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,monstrosity,ToA
2501,Zalkoré,127,17d8 + 51,-,15,-,6,10,15,16,12,13,15,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,monstrosity,ToA
2502,Zaroum Al-Saryak,65,10d8 + 20,-,15,-,2,15,16,14,14,11,14,+4,+5,-,-,+2,-,30,-,-,-,-,-,M,LE,humanoid,ToA
2503,Zebra,13,2d10 + 2,-,10,-,1/4,16,10,12,2,11,7,-,-,-,-,-,-,60,-,-,-,-,-,L,U,beast,ToA
2504,Zhanthi,9,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NG,humanoid,ToA
2505,Zindar,110,17d8 + 34,-,13,-,8,14,10,14,16,15,18,-,-,+5,-,+5,-,30,-,-,-,-,-,M,LG,humanoid,ToA
2506,Zorbo,27,6d6 + 6,-,10,-,1/2,13,11,13,3,12,7,-,-,-,-,-,-,30,-,-,-,30,-,S,U,monstrosity,ToA
2507,Abjurer,84,13d8 + 26,-,12,-,9,9,14,14,18,12,11,-,-,-,+8,+5,-,30,-,-,-,-,-,M,A,humanoid,VGM
2508,Alhoon,120,16d8 + 48,-,15,-,10,11,12,16,19,17,17,-,-,+7,+8,+7,+7,30,-,-,-,-,-,M,LNXCE,undead,VGM
2509,Annis Hag,75,10d10 + 20,-,17,-,-,21,12,14,13,14,15,-,-,+5,-,-,-,40,-,-,-,-,-,L,CE,fey,VGM
2510,Apprentice Wizard,9,2d8,-,10,-,1/4,10,10,10,14,10,11,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,VGM
2511,Archdruid,132,24d8 + 24,-,16,-,12,10,14,12,12,20,11,-,-,-,+5,+9,-,30,-,-,-,-,-,M,A,humanoid,VGM
2512,Archer,75,10d8 + 30,-,16,-,3,11,18,16,11,13,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,VGM
2513,Aurochs,38,4d10 + 16,-,11,-,2,20,10,19,2,12,5,-,-,-,-,-,-,50,-,-,-,-,-,L,U,beast,VGM
2514,Babau,82,11d8 + 33,-,16,-,4,19,16,16,11,12,13,-,-,-,-,-,-,40,-,-,-,-,-,M,CE,fiend,VGM
2515,Banderhobb,84,8d10 + 40,-,15,-,5,20,12,20,11,14,8,-,-,-,-,-,-,30,-,-,-,-,-,L,NE,monstrosity,VGM
2516,Bard,44,8d8 + 8,-,15,-,2,11,14,12,10,13,14,-,+4,-,-,+3,-,30,-,-,-,-,-,M,A,humanoid,VGM
2517,Barghest,90,12d10 + 24,-,17,-,4,19,15,14,13,12,14,-,-,-,-,-,-,-,-,-,-,-,-,L,NE,fiend,VGM
2518,Bheur Hag,91,14d8 + 28,-,17,-,-,13,16,14,12,13,16,-,-,-,-,+4,-,30,-,-,-,-,-,M,CE,fey,VGM
2519,Black Guard Drake,52,7d8 + 21,-,14,-,2,16,11,16,4,10,7,-,-,-,-,-,-,30,-,30,-,-,-,M,U,dragon,VGM
2520,Blackguard,153,18d8 + 72,-,18,-,8,18,11,18,11,14,15,-,-,-,-,+5,+5,30,-,-,-,-,-,M,LNXCNYE,humanoid,VGM
2521,Blue Guard Drake,52,7d8 + 21,-,14,-,2,16,11,16,4,10,7,-,-,-,-,-,-,30,-,-,20,-,-,M,U,dragon,VGM
2522,Bodak,58,9d8 + 18,-,15,-,6,15,16,15,7,12,12,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,undead,VGM
2523,Boggle,18,4d6 + 4,-,14,-,1/8,8,18,13,6,12,7,-,-,-,-,-,-,30,-,-,-,30,-,S,CN,fey,VGM
2524,Booyahg Booyahg Booyahg,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,VGM
2525,Booyahg Caster,7,2d6,-,15,-,1/4,8,14,10,10,8,8,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,humanoid,VGM
2526,Booyahg Slave of the Archfey,49,11d8,-,11,-,4,9,13,11,11,12,18,-,-,-,-,+3,+6,30,-,-,-,-,-,M,A,humanoid,VGM
2527,Booyahg Slave of the Fiend,78,12d8 + 24,-,12,-,7,10,14,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,VGM
2528,Booyahg Slave of the Great Old One,91,14d8 + 28,-,12,-,6,9,14,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,VGM
2529,Booyahg Whip,7,2d6,-,15,-,1/4,8,14,10,10,8,8,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,humanoid,VGM
2530,Booyahg Wielder,7,2d6,-,15,-,1/4,8,14,10,10,8,8,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,humanoid,VGM
2531,Brontosaurus,121,9d20 + 27,-,15,-,5,21,9,17,2,10,7,-,-,+6,-,-,-,30,-,-,-,-,-,G,U,beast,VGM
2532,Catoblepas,84,8d10 + 40,-,14,-,5,19,12,21,3,14,8,-,-,-,-,-,-,30,-,-,-,-,-,L,U,monstrosity,VGM
2533,Cave Fisher,58,9d8 + 18,-,16,-,3,16,13,14,3,10,3,-,-,-,-,-,-,20,-,-,-,20,-,M,U,monstrosity,VGM
2534,Champion,143,22d8 + 44,-,18,-,9,20,15,14,10,14,12,+9,-,+6,-,-,-,30,-,-,-,-,-,M,A,humanoid,VGM
2535,Chitine,18,4d6 + 4,-,14,-,1/2,10,14,12,10,10,7,-,-,-,-,-,-,30,-,-,-,30,-,S,CE,monstrosity,VGM
2536,Choldrith,66,12d8 + 12,-,15,-,3,12,16,12,11,14,10,-,-,-,-,-,-,30,-,-,-,30,-,M,CE,monstrosity,VGM
2537,Cloud Giant Smiling One,262,21d12 + 128,-,15,-,11,26,12,22,15,16,17,-,-,+10,+6,+7,-,40,-,-,-,-,-,H,CN,giant,VGM
2538,Conjurer,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,VGM
2539,Cow,15,2d10 + 4,-,10,-,1/4,18,10,14,2,10,4,-,-,-,-,-,-,30,-,-,-,-,-,L,U,beast,VGM
2540,Cranium Rat,2,1d4,-,12,-,0,2,14,10,4,11,8,-,-,-,-,-,-,30,-,-,-,-,-,T,LE,beast,VGM
2541,Darkling,13,3d6 + 3,-,14,-,1/2,9,16,12,10,12,10,-,-,-,-,-,-,30,-,-,-,-,-,S,CN,fey,VGM
2542,Darkling Elder,27,5d8 + 5,-,15,-,2,13,17,12,10,14,13,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,fey,VGM
2543,Death Kiss,161,17d10 + 68,-,16,-,10,18,14,18,10,12,10,-,-,+8,-,+5,-,0,30,-,-,-,True,L,NE,aberration,VGM
2544,Deep Rothé,13,2d8 + 4,-,10,-,1/4,18,10,14,2,10,4,-,-,-,-,-,-,30,-,-,-,-,-,M,U,beast,VGM
2545,Deep Scion,67,9d8 + 27,-,11,-,3,18,13,16,10,12,14,-,-,-,-,+3,+4,-,-,-,-,-,-,M,NE,humanoid,VGM
2546,Deinonychus,26,4d8 + 8,-,13,-,1,15,15,14,4,12,6,-,-,-,-,-,-,40,-,-,-,-,-,M,U,beast,VGM
2547,Devourer,178,17d10 + 85,-,16,-,13,20,12,20,13,10,16,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,fiend,VGM
2548,Dimetrodon,19,3d8 + 6,-,12,-,1/4,14,10,15,2,10,5,-,-,-,-,-,-,30,-,20,-,-,-,M,U,beast,VGM
2549,Diviner,67,15d8,-,12,-,8,9,14,11,18,12,11,-,-,-,+7,+4,-,30,-,-,-,-,-,M,A,humanoid,VGM
2550,Dolphin,11,2d8 + 2,-,12,-,1/8,14,13,13,6,12,7,-,-,-,-,-,-,0,-,60,-,-,-,M,U,beast,VGM
2551,Draegloth,123,13d10 + 52,-,15,-,7,20,15,18,13,11,11,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,fiend,VGM
2552,Elder Brain,210,20d10 + 100,-,10,-,14,15,10,20,21,19,24,-,-,-,+10,+9,+12,5,-,10,-,-,-,L,LE,aberration,VGM
2553,Enchanter,40,9d8,-,12,-,5,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,VGM
2554,Evoker,66,12d8 + 12,-,12,-,9,9,14,12,17,12,11,-,-,-,+7,+5,-,30,-,-,-,-,-,M,A,humanoid,VGM
2555,Fire Giant Dreadnought,187,15d12 + 90,-,21,-,14,27,9,23,8,10,11,-,+4,+11,-,-,+5,30,-,-,-,-,-,H,LE,giant,VGM
2556,Firenewt Warlock of Imix,33,6d8 + 6,-,10,-,1,13,11,12,9,11,14,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,VGM
2557,Firenewt Warrior,22,4d8 + 4,-,16,-,1/2,10,13,12,7,11,8,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,VGM
2558,Flail Snail,52,5d10 + 25,-,16,-,3,17,5,20,3,10,5,-,-,-,-,-,-,10,-,-,-,-,-,L,U,elemental,VGM
2559,Flind,127,15d8 + 60,-,16,-,9,20,10,19,11,13,12,-,-,+8,-,+5,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2560,Froghemoth,184,16d12 + 80,-,14,-,10,23,13,20,2,12,5,-,-,+9,-,+5,-,30,-,30,-,-,-,H,U,monstrosity,VGM
2561,Frost Giant Everlasting One,189,14d12 + 98,-,15,-,12,25,9,24,9,10,12,+11,-,+11,-,+4,-,40,-,-,-,-,-,H,CE,giant,VGM
2562,Gauth,67,9d8 + 27,-,15,-,6,10,14,16,15,15,13,-,-,-,+5,+5,+4,0,20,-,-,-,True,M,LE,aberration,VGM
2563,Gazer,13,3d4 + 6,-,13,-,1/2,3,17,14,3,10,7,-,-,-,-,+2,-,0,30,-,-,-,True,T,NE,aberration,VGM
2564,Giant Strider,22,3d10 + 6,-,14,-,1,18,13,14,4,12,6,-,-,-,-,-,-,50,-,-,-,-,-,L,NE,monstrosity,VGM
2565,Girallon,59,7d10 + 21,-,13,-,4,18,16,16,5,12,7,-,-,-,-,-,-,40,-,-,-,40,-,L,U,monstrosity,VGM
2566,Gnoll Flesh Gnawer,22,4d8 + 4,-,14,-,1,12,14,12,8,10,8,-,+4,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2567,Gnoll Hunter,22,4d8 + 4,-,13,-,1/2,14,14,12,8,12,8,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2568,Gnoll Witherling,11,2d8 + 2,-,12,-,1/4,14,8,12,5,5,5,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,undead,VGM
2569,Green Guard Drake,52,7d8 + 21,-,14,-,2,16,11,16,4,10,7,-,-,-,-,-,-,30,-,30,-,-,-,M,U,dragon,VGM
2570,Grung,11,2d6 + 4,-,12,-,1/4,7,14,15,10,11,10,-,+4,-,-,-,-,25,-,-,-,25,-,S,LE,humanoid,VGM
2571,Grung Elite Warrior,49,9d6 + 18,-,13,-,2,7,16,15,10,11,12,-,+5,-,-,-,-,25,-,-,-,25,-,S,LE,humanoid,VGM
2572,Grung Wildling,27,5d6 + 10,-,13,-,1,7,16,15,10,15,11,-,+5,-,-,-,-,25,-,-,-,25,-,S,LE,humanoid,VGM
2573,Hadrosaurus,19,3d10 + 3,-,11,-,1/4,15,10,13,2,10,5,-,-,-,-,-,-,40,-,-,-,-,-,L,U,beast,VGM
2574,Hobgoblin Devastator,45,7d8 + 14,-,13,-,4,13,12,14,16,13,11,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,VGM
2575,Hobgoblin Iron Shadow,32,5d8 + 10,-,15,-,2,14,16,15,14,15,11,-,-,-,-,-,-,40,-,-,-,-,-,M,LE,humanoid,VGM
2576,Illithilich,135,18d8 + 54,-,17,-,22,11,16,16,20,14,16,-,-,+10,+12,+9,-,30,-,-,-,-,-,M,LNXCE,undead,VGM
2577,Illusionist,38,7d8 + 7,-,12,-,3,9,14,13,16,11,12,-,-,-,+5,+2,-,30,-,-,-,-,-,M,A,humanoid,VGM
2578,Ki-rin,152,16d12 + 48,-,20,-,12,21,16,16,19,20,20,-,-,-,-,-,-,60,120,-,-,-,True,H,LG,celestial,VGM
2579,Kobold Dragonshield,44,8d6 + 16,-,15,-,1,12,15,14,8,9,10,-,-,-,-,-,-,20,-,-,-,-,-,S,LE,humanoid,VGM
2580,Kobold Inventor,13,3d6 + 3,-,12,-,1/4,7,15,12,8,7,8,-,-,-,-,-,-,30,-,-,-,-,-,S,LE,humanoid,VGM
2581,Kobold Scale Sorcerer,27,5d6 + 10,-,15,-,1,7,15,14,10,9,14,-,-,-,-,-,-,30,-,-,-,-,-,S,LE,humanoid,VGM
2582,Korred,102,12d6 + 60,-,17,-,7,23,14,20,10,15,9,-,-,-,-,-,-,30,-,-,30,-,-,S,CN,fey,VGM
2583,Kraken Priest,75,10d8 + 30,-,10,-,5,12,10,16,10,15,14,-,-,-,-,-,-,30,-,30,-,-,-,M,LNXCE,humanoid,VGM
2584,Leucrotta,67,9d10 + 18,-,14,-,3,18,14,15,9,12,6,-,-,-,-,-,-,50,-,-,-,-,-,L,CE,monstrosity,VGM
2585,Martial Arts Adept,60,11d8 + 11,-,16,-,3,11,17,13,11,16,10,-,-,-,-,-,-,40,-,-,-,-,-,M,A,humanoid,VGM
2586,Master Thief,83,13d8 + 26,-,16,-,5,11,18,14,11,11,12,-,+7,-,+3,-,-,30,-,-,-,-,-,M,A,humanoid,VGM
2587,Maw Demon,33,6d8 + 6,-,13,-,1,14,8,13,5,8,5,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fiend,VGM
2588,Meenlock,31,7d6 + 7,-,15,-,2,7,15,12,11,10,8,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,fey,VGM
2589,Mind Flayer Psion,71,13d8 + 13,-,15,-,8,11,12,12,19,17,17,-,-,-,+7,+6,+6,30,-,-,-,-,-,M,LE,aberration,VGM
2590,Mindwitness,75,10d10 + 20,-,15,-,5,10,14,14,15,15,10,-,-,-,+5,+5,-,0,20,-,-,-,True,L,LE,aberration,VGM
2591,Morkoth,130,20d8 + 40,-,17,-,-,14,14,14,20,15,13,-,+6,-,+9,+6,-,25,-,50,-,-,-,M,CE,aberration,VGM
2592,Mouth of Grolantor,105,10d12 + 40,-,14,-,6,21,10,18,5,7,5,-,-,-,-,-,-,50,-,-,-,-,-,H,CE,giant,VGM
2593,Necromancer,66,12d8 + 12,-,12,-,9,9,14,12,17,12,11,-,-,-,+7,+5,-,30,-,-,-,-,-,M,A,humanoid,VGM
2594,Neogi,33,6d6 + 12,-,15,-,3,6,16,14,13,12,15,-,-,-,-,-,-,30,-,-,-,30,-,S,LE,aberration,VGM
2595,Neogi Hatchling,7,3d4,-,11,-,1/8,3,13,10,6,10,9,-,-,-,-,-,-,20,-,-,-,20,-,T,LE,aberration,VGM
2596,Neogi Master,71,11d8 + 22,-,15,-,4,6,16,14,16,12,18,-,-,-,-,+3,-,30,-,-,-,30,-,M,LE,aberration,VGM
2597,Neothelid,325,21d20 + 105,-,16,-,13,27,7,21,3,16,12,-,-,-,+1,+8,+6,30,-,-,-,-,-,G,CE,aberration,VGM
2598,Nilbog,7,2d6,-,13,-,1,8,14,10,10,8,15,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,humanoid,VGM
2599,Orc Blade of Ilneval,60,8d8 + 24,-,18,-,4,17,11,17,10,12,14,-,-,-,-,+3,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2600,Orc Claw of Luthic,45,6d8 + 18,-,14,-,2,14,15,16,10,15,11,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2601,Orc Hand of Yurtrus,30,4d8 + 12,-,12,-,2,12,11,16,11,14,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2602,Orc Nurtured One of Yurtrus,30,4d8 + 12,-,9,-,1/2,15,8,16,7,11,7,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2603,Orc Red Fang of Shargaas,52,8d8 + 16,-,15,-,3,11,16,15,9,11,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,VGM
2604,Ox,15,2d10 + 4,-,10,-,1/4,18,10,14,2,10,4,-,-,-,-,-,-,30,-,-,-,-,-,L,U,beast,VGM
2605,Quetzalcoatlus,30,4d12 + 4,-,13,-,2,15,13,13,2,10,5,-,-,-,-,-,-,10,80,-,-,-,-,H,U,beast,VGM
2606,Quickling,10,3d4 + 3,-,16,-,1,4,23,13,10,12,7,-,-,-,-,-,-,120,-,-,-,-,-,T,CE,fey,VGM
2607,Red Guard Drake,52,7d8 + 21,-,14,-,2,16,11,16,4,10,7,-,-,-,-,-,-,30,-,-,-,30,-,M,U,dragon,VGM
2608,Redcap,45,6d6 + 24,-,13,-,3,18,13,18,10,12,9,-,-,-,-,-,-,25,-,-,-,-,-,S,CE,fey,VGM
2609,Rothé,15,2d10 + 4,-,10,-,1/4,18,10,14,2,10,4,-,-,-,-,-,-,30,-,-,-,-,-,L,U,beast,VGM
2610,Sea Spawn,32,5d8 + 10,-,11,-,1,15,8,15,6,10,8,-,-,-,-,-,-,20,-,30,-,-,-,M,NE,humanoid,VGM
2611,Shadow Mastiff,33,6d8 + 6,-,12,-,2,16,14,13,5,12,5,-,-,-,-,-,-,40,-,-,-,-,-,M,NE,monstrosity,VGM
2612,Shoosuva,110,13d10 + 39,-,14,-,8,18,13,17,7,14,9,-,+4,+6,-,+5,-,40,-,-,-,-,-,L,CE,fiend,VGM
2613,Slithering Tracker,32,5d8 + 10,-,14,-,3,16,19,15,10,14,11,-,-,-,-,-,-,30,-,30,-,30,-,M,CE,ooze,VGM
2614,Spawn of Kyuss,76,9d8 + 36,-,10,-,5,16,11,18,5,7,3,-,-,-,-,+1,-,30,-,-,-,-,-,M,CE,undead,VGM
2615,Stegosaurus,76,8d12 + 24,-,13,-,4,20,9,17,2,11,5,-,-,-,-,-,-,40,-,-,-,-,-,H,U,beast,VGM
2616,Stench Kow,15,2d10 + 4,-,10,-,1/4,18,10,14,2,10,4,-,-,-,-,-,-,30,-,-,-,-,-,L,U,beast,VGM
2617,Stone Giant Dreamwalker,161,14d12 + 70,-,18,-,10,23,14,21,10,8,12,-,+6,+9,-,+3,-,40,-,-,-,-,-,H,CN,giant,VGM
2618,Storm Giant Quintessent,230,20d12 + 100,-,12,-,16,29,14,20,17,20,19,+14,-,+10,-,+10,+9,50,50,50,-,-,True,H,CG,giant,VGM
2619,Swarm of Cranium Rats,36,8d8,-,12,-,5,9,14,10,15,11,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,beast,VGM
2620,Swarm of Rot Grubs,22,5d8,-,8,-,1/2,2,7,10,1,2,1,-,-,-,-,-,-,5,-,-,-,5,-,M,U,beast,VGM
2621,Swashbuckler,66,12d8 + 12,-,17,-,3,12,18,12,14,11,15,-,-,-,-,-,-,30,-,-,-,-,-,M,NXCGNYE,humanoid,VGM
2622,Tanarukk,95,10d8 + 50,-,14,-,5,18,13,20,9,9,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fiend,VGM
2623,Thorny,27,5d8 + 5,-,14,-,1,13,12,13,2,10,6,-,-,-,-,-,-,30,-,-,-,-,-,M,N,plant,VGM
2624,Tlincalli,85,10d10 + 30,-,15,-,5,16,13,16,8,12,8,-,-,-,-,-,-,40,-,-,-,-,-,L,NE,monstrosity,VGM
2625,Transmuter,40,9d8,-,12,-,5,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,VGM
2626,Trapper,85,10d10 + 30,-,13,-,3,17,10,17,2,13,4,-,-,-,-,-,-,10,-,-,-,10,-,L,U,monstrosity,VGM
2627,Ulitharid,127,17d10 + 14,-,15,-,9,15,12,15,21,19,21,-,-,-,+9,+8,+9,30,-,-,-,-,-,L,LE,aberration,VGM
2628,Vargouille,13,3d4 + 6,-,12,-,1,6,14,14,4,7,2,-,-,-,-,-,-,5,40,-,-,-,-,T,CE,fiend,VGM
2629,Vegepygmy,9,2d6 + 2,-,13,-,1/4,7,14,13,6,11,7,-,-,-,-,-,-,30,-,-,-,-,-,S,N,plant,VGM
2630,Vegepygmy Chief,33,6d6 + 12,-,14,-,2,14,14,14,7,12,9,-,-,-,-,-,-,30,-,-,-,-,-,S,N,plant,VGM
2631,Velociraptor,10,3d4 + 3,-,13,-,1/4,6,14,13,4,12,6,-,-,-,-,-,-,30,-,-,-,-,-,T,U,beast,VGM
2632,War Priest,117,18d8 + 36,-,18,-,9,16,10,14,11,17,13,-,-,+6,-,+7,-,30,-,-,-,-,-,M,A,humanoid,VGM
2633,Warlock of the Archfey,49,11d8,-,11,-,4,9,13,11,11,12,18,-,-,-,-,+3,+6,30,-,-,-,-,-,M,A,humanoid,VGM
2634,Warlock of the Fiend,78,12d8 + 24,-,12,-,7,10,14,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,VGM
2635,Warlock of the Great Old One,91,14d8 + 28,-,12,-,6,9,14,15,12,12,18,-,-,-,-,+4,+7,30,-,-,-,-,-,M,A,humanoid,VGM
2636,Warlord,229,27d8 + 108,-,18,-,12,20,16,18,12,12,18,+9,+7,+8,-,-,-,30,-,-,-,-,-,M,A,humanoid,VGM
2637,White Guard Drake,52,7d8 + 21,-,14,-,2,16,11,16,4,10,7,-,-,-,-,-,-,30,-,-,20,30,-,M,U,dragon,VGM
2638,Wood Woad,75,10d8 + 30,-,18,-,5,18,12,16,10,13,8,-,-,-,-,-,-,30,-,-,-,30,-,M,LN,plant,VGM
2639,Xvart,7,2d6,-,13,-,1/8,8,14,10,8,7,7,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,humanoid,VGM
2640,Xvart Speaker,7,2d6,-,13,-,1/8,8,14,10,13,7,7,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,humanoid,VGM
2641,Xvart Warlock of Raxivort,22,5d6 + 5,-,12,-,1,8,14,12,8,11,12,-,-,-,-,-,-,30,-,-,-,-,-,S,CE,humanoid,VGM
2642,Yeth Hound,51,6d10 + 18,-,14,-,4,18,17,16,5,12,7,-,-,-,-,-,-,40,40,-,-,-,True,L,NE,fey,VGM
